Order,DC-WH,Customer,SCTN,Invoice,Route,Lines,Cases,Weight,Cube
30642,24-24,17120,GRO,5750954,6001,2,18,408,14.25
30279,24-24,19339,GRO,5751207,5002-,155,156,2124.49,82.46
30280,24-24,19339,GRO,5751208,5002-,2,2,9.27,0.682
30281,24-24,19339,GRO,5751209,5002-,2,2,13.2,9.008
30279,24-24,19339,,5751207,5002-,1,58,667.04,24.248
30280,24-24,19339,,5751208,5002-,1,7,29.36,1.637
30552,24-24,39024,,5751659,5002-,7,2,1.5,0.113
30553,24-24,39062,,5751660,5002-,6,11,6.93,0.291
30563,24-24,39266,,5751670,5002-,3,25,15.67,0.73
30574,24-24,39450,,5751681,5002-,5,20,11.33,0.478
30578,24-24,39576,,5751685,5002-,8,19,13.12,0.767
30581,24-24,39612,,5751688,5002-,2,39,24.91,1.321
30587,24-24,39830,,5751694,5002-,4,18,10.46,0.535
30564,24-24,39271,,5751671,5003-,5,11,6.31,0.313
30566,24-24,39358,,5751673,5003-,6,8,4.42,0.213
30573,24-24,39446,,5751680,5003-,4,11,6.31,0.212
30580,24-24,39600,,5751687,5003-,2,28,12.03,0.748
30584,24-24,39754,,5751691,5003-,3,7,4.52,0.283
30555,24-24,39088,,5751662,5004-,3,13,8.81,0.82
30559,24-24,39112,,5751666,5004-,6,15,6.63,0.203
30561,24-24,39172,,5751668,5004-,7,24,12.3,0.545
30570,24-24,39390,,5751677,5004-,2,38,27.77,1.928
30575,24-24,39500,,5751682,5004-,4,6,3.97,0.164
30583,24-24,39726,,5751690,5004-,8,81,49.57,2.051
30591,24-24,39924,,5751698,5004-,1,4,2.55,0.133
30592,24-24,39944,,5751699,5004-,5,26,15.76,0.707
30551,24-24,39022,,5751658,5005-,7,16,9.61,0.434
30558,24-24,39102,,5751665,5005-,9,39,20.79,1.001
30560,24-24,39118,,5751667,5005-,8,22,14.54,0.987
30565,24-24,39328,,5751672,5005-,4,14,10.57,0.894
30571,24-24,39392,,5751678,5005-,2,24,14.38,1.143
30572,24-24,39424,,5751679,5005-,5,42,24.91,1.554
30579,24-24,39584,,5751686,5005-,10,35,21.11,1.066
30585,24-24,39800,,5751692,5005-,1,17,11.53,0.745
30586,24-24,39802,,5751693,5005-,6,27,15.2,0.772
30590,24-24,39902,,5751697,5005-,3,18,11.08,0.686
30170,24-24,18542,GRO,5751035,5006-,114,147,2651.97,95.153
30229,24-24,18845,GRO,5751114,5006-,131,297,7153.43,222.267
30270,24-24,19293,GRO,5751193,5006-,1,1,3.49,0.423
30283,24-24,19365,GRO,5751213,5006-,1,1,5.46,0.41
30055,24-24,3015,,5750841,5006-,6,1,13.21,0.902
30170,24-24,18542,,5751035,5006-,1,21,869.47,36.88
30171,24-24,18542,,5751037,5006-,1,12,8.15,0.439
30229,24-24,18845,,5751114,5006-,2,55,1193.8,48.964
30230,24-24,18845,,5751115,5006-,2,3,13.54,0.729
30270,24-24,19293,,5751193,5006-,3,1,18.56,0.748
30282,24-24,19364,,5751212,5006-,4,1,8.5,0.508
30554,24-24,39064,,5751661,5007-,8,8,4.71,0.262
30556,24-24,39090,,5751663,5007-,5,3,1.99,0.107
30568,24-24,39386,,5751675,5007-,2,13,7.49,0.456
30569,24-24,39388,,5751676,5007-,6,37,23.81,1.455
30576,24-24,39518,,5751683,5007-,3,10,6.04,0.228
30577,24-24,39566,,5751684,5007-,1,22,14.18,0.676
30582,24-24,39640,,5751689,5007-,7,19,13.22,1.158
30588,24-24,39854,,5751695,5007-,9,33,22.62,1.514
30617,24-24,64258,,5751724,5007-,4,6,3.97,0.195
30557,24-24,39092,,5751664,5008-,6,13,8.45,0.548
30562,24-24,39208,,5751669,5008-,7,11,7.52,0.339
30593,24-24,39972,,5751700,5008-,5,5,2.65,0.183
30600,24-24,63887,,5751707,5008-,2,10,6.7,0.397
30601,24-24,63889,,5751708,5008-,3,2,1.26,0.071
30603,24-24,63891,,5751710,5008-,1,3,1.88,0.1
30616,24-24,64232,,5751723,5008-,4,22,12.99,0.618
30070,24-24,16190,GRO,5750865,5009-,12,164,2277.02,146.307
30071,24-24,16190,GRO,5750866,5009-,1,780,21918,562.38
30070,24-24,16190,,5750865,5009-,2,19,128.81,4.778
30567,24-24,39372,,5751674,5009-,1,10,5.72,0.12
30621,24-24,18520,GRO,5750998,5010-,5,18,378.71,51.549
30622,24-24,18520,GRO,5750999,5010-,6,318,9196.34,241.418
30644,24-24,18520,GRO,5751000,5010-,331,377,5111.71,236.712
30645,24-24,18520,GRO,5751001,5010-,33,53,1221.09,40.611
30195,24-24,18594,GRO,5751068,5010-,190,240,4789.33,171.412
30196,24-24,18594,GRO,5751069,5010-,5,160,4462.96,114.309
30197,24-24,18594,GRO,5751070,5010-,6,6,27.96,1.676
30198,24-24,18594,GRO,5751071,5010-,3,7,122.18,8.97
30208,24-24,18596,GRO,5751086,5010-,190,269,5059.55,223.693
30209,24-24,18596,GRO,5751087,5010-,7,7,55.55,3.015
30210,24-24,18596,GRO,5751088,5010-,10,17,279.13,22.99
30235,24-24,18991,GRO,5751131,5010-,240,297,6417.23,204.56
30236,24-24,18991,GRO,5751132,5010-,131,231,4374.18,180.615
30237,24-24,18991,GRO,5751133,5010-,10,10,58.43,2.762
30621,24-24,18520,,5750998,5010-,4,4,676,26.096
30622,24-24,18520,,5750999,5010-,4,4,191.75,8.053
30644,24-24,18520,,5751000,5010-,4,121,952.42,45.764
30645,24-24,18520,,5751001,5010-,4,12,89.98,4.301
30195,24-24,18594,,5751068,5010-,6,73,1190.68,81.517
30196,24-24,18594,,5751069,5010-,6,1,13.72,0.601
30197,24-24,18594,,5751070,5010-,6,9,38.33,2.01
30208,24-24,18596,,5751086,5010-,5,58,619.18,26.103
30209,24-24,18596,,5751087,5010-,5,5,22.33,0.924
30210,24-24,18596,,5751088,5010-,5,1,16.75,2.301
30211,24-24,18596,,5751091,5010-,5,1,0.77,0.055
30235,24-24,18991,,5751131,5010-,3,94,2031.57,76.584
30236,24-24,18991,,5751132,5010-,3,60,576.79,31.18
30237,24-24,18991,,5751133,5010-,3,7,33.35,1.71
30605,24-24,63895,,5751712,5010-,1,4,2.59,0.129
30606,24-24,63896,,5751713,5010-,2,1,0.62,0.028
30134,24-24,18440,GRO,5750977,5011-,13,20,527.6,12.357
30134,24-24,18440,,5750977,5011-,1,2,34.35,1.258
30589,24-24,39890,,5751696,5011-,2,13,7.23,0.591
30594,24-24,63876,,5751701,5011-,4,3,2.08,0.111
30595,24-24,63878,,5751702,5011-,5,2,1.23,0.056
30596,24-24,63882,,5751703,5011-,6,2,0.64,0.071
30597,24-24,63884,,5751704,5011-,7,7,4.63,0.251
30598,24-24,63885,,5751705,5011-,9,1,0.73,0.028
30599,24-24,63886,,5751706,5011-,8,3,1.93,0.105
30602,24-24,63890,,5751709,5011-,3,1,0.7,0.056
30056,24-24,16146,GRO,5750843,5012-,99,253,7128.28,232.87
30057,24-24,16146,GRO,5750844,5012-,77,163,3605.83,103.333
30058,24-24,16146,GRO,5750845,5012-,1,2,5.2,0.378
30292,24-24,25415,GRO,5751240,5012-,58,238,4957.73,145.844
30293,24-24,25415,GRO,5751241,5012-,9,56,804.28,22.989
30356,24-24,26359,GRO,5751336,5012-,138,246,6018.47,223.955
30364,24-24,26434,GRO,5751345,5012-,3,386,2212.22,80.82
30056,24-24,16146,,5750843,5012-,3,62,1069.41,44.966
30057,24-24,16146,,5750844,5012-,3,21,437.79,17.232
30292,24-24,25415,,5751240,5012-,1,256,2947.97,126.413
30293,24-24,25415,,5751241,5012-,1,23,224,6.555
30356,24-24,26359,,5751336,5012-,2,62,1159.21,52.685
30242,24-24,19080,GRO,5751151,5013-,246,282,5620.9,209.884
30243,24-24,19080,GRO,5751152,5013-,136,361,9047.24,279.377
30244,24-24,19080,GRO,5751153,5013-,6,6,93.97,3.689
30245,24-24,19080,GRO,5751154,5013-,5,5,24.48,0.909
30401,24-24,31013,GRO,5751397,5013-,233,304,3476.69,240.705
30402,24-24,31013,GRO,5751398,5013-,168,208,2875.07,118.515
30403,24-24,31013,GRO,5751399,5013-,1,390,11076,281.19
30404,24-24,31013,GRO,5751400,5013-,276,340,5783.63,226.077
30405,24-24,31013,GRO,5751401,5013-,13,14,115.69,5.279
30242,24-24,19080,,5751151,5013-,1,136,2317.33,72.112
30243,24-24,19080,,5751152,5013-,1,40,646.4,20.539
30244,24-24,19080,,5751153,5013-,1,5,136.78,3.72
30245,24-24,19080,,5751154,5013-,1,3,14.87,0.552
30401,24-24,31013,,5751397,5013-,2,58,736.32,38.286
30402,24-24,31013,,5751398,5013-,2,47,597.63,27.163
30404,24-24,31013,,5751400,5013-,2,70,803.73,32.33
30405,24-24,31013,,5751401,5013-,2,8,48.31,3.054
30435,24-24,31059,GRO,5751441,5014-,117,162,3197.15,94.883
30436,24-24,31059,GRO,5751442,5014-,1,780,21918,562.38
30437,24-24,31059,GRO,5751443,5014-,199,329,4788.11,241.639
30438,24-24,31059,GRO,5751444,5014-,219,280,5153.45,173.713
30439,24-24,31059,GRO,5751445,5014-,20,57,2123.4,53.548
30440,24-24,31059,GRO,5751446,5014-,5,5,46.26,1.795
30435,24-24,31059,,5751441,5014-,10,28,436.77,14.17
30437,24-24,31059,,5751443,5014-,10,63,888.15,39.551
30438,24-24,31059,,5751444,5014-,10,73,2635.02,97.273
30439,24-24,31059,,5751445,5014-,10,3,17.72,1.959
30440,24-24,31059,,5751446,5014-,10,6,32.09,2.043
30441,24-24,31059,,5751447,5014-,10,1,7.23,0.341
30607,24-24,64025,,5751714,5014-,7,34,20.41,1.078
30608,24-24,64026,,5751715,5014-,5,58,36.47,2.167
30609,24-24,64086,,5751716,5014-,3,28,18.2,0.78
30610,24-24,64096,,5751717,5014-,2,25,16.14,0.844
30611,24-24,64098,,5751718,5014-,9,21,10.37,0.651
30612,24-24,64112,,5751719,5014-,8,20,11.81,0.677
30613,24-24,64113,,5751720,5014-,6,15,10.65,0.78
30614,24-24,64151,,5751721,5014-,4,18,12.6,0.846
30615,24-24,64152,,5751722,5014-,1,43,16.15,1.035
30631,24-24,19157,GRO,5751178,5015-,1,200,4960,118.4
30357,24-24,26394,GRO,5751338,5015-,1,108,1645.92,49.464
30358,24-24,26394,GRO,5751339,5015-,1,756,11597.04,338.688
30359,24-24,26394,GRO,5751340,5015-,1,432,6570.72,192.24
30360,24-24,26394,GRO,5751341,5015-,1,324,4918.32,146.124
30361,24-24,26394,GRO,5751342,5015-,2,660,3606,229.74
30362,24-24,26394,GRO,5751343,5015-,2,504,8253,224.064
30363,24-24,26394,GRO,5751344,5015-,1,180,3259.8,67.68
30631,24-24,19157,,5751178,5015-,1,25,357.25,25.2
30074,24-24,16236,GRO,5750871,5016-,375,440,5986.4,230.139
30075,24-24,16236,GRO,5750872,5016-,102,117,1589.15,62.617
30076,24-24,16236,GRO,5750873,5016-,13,13,92.13,4.922
30305,24-24,26012,GRO,5751258,5016-,54,302,7571.15,212.642
30328,24-24,26234,GRO,5751292,5016-,360,435,6700.23,253.883
30329,24-24,26234,GRO,5751293,5016-,165,194,3185.11,110.489
30330,24-24,26234,GRO,5751294,5016-,18,18,116.07,6.285
30340,24-24,26249,GRO,5751311,5016-,230,303,5783.69,210.402
30341,24-24,26249,GRO,5751312,5016-,27,44,221.81,8.588
30392,24-24,30097,GRO,5751384,5016-,96,119,2073.93,72.619
30074,24-24,16236,,5750871,5016-,2,121,1492.54,51.139
30075,24-24,16236,,5750872,5016-,2,47,654.57,20.639
30076,24-24,16236,,5750873,5016-,2,1,6.29,0.215
30305,24-24,26012,,5751258,5016-,3,8,104.02,6.584
30328,24-24,26234,,5751292,5016-,4,43,447.1,19.869
30329,24-24,26234,,5751293,5016-,4,21,329.6,10.049
30330,24-24,26234,,5751294,5016-,4,7,41.3,1.744
30340,24-24,26249,,5751311,5016-,1,64,656.95,28.991
30341,24-24,26249,,5751312,5016-,1,3,8.95,0.367
30392,24-24,30097,,5751384,5016-,6,6,105.62,2.642
30271,24-24,19300,GRO,5751194,5017-,123,157,3019.5,131.396
30272,24-24,19300,GRO,5751195,5017-,267,378,7489.9,244.959
30273,24-24,19300,GRO,5751196,5017-,148,173,2725.13,138.426
30274,24-24,19300,GRO,5751197,5017-,8,10,79.82,3.163
30275,24-24,19300,GRO,5751198,5017-,2,11,209.97,15.881
30397,24-24,31012,GRO,5751392,5017-,92,292,5125.88,278.129
30398,24-24,31012,GRO,5751393,5017-,1,390,11076,281.19
30399,24-24,31012,GRO,5751394,5017-,3,7,189.14,7.363
30400,24-24,31012,GRO,5751395,5017-,2,6,123.9,4.05
30271,24-24,19300,,5751194,5017-,1,61,3878.53,147.697
30272,24-24,19300,,5751195,5017-,1,95,1013.04,37.481
30273,24-24,19300,,5751196,5017-,1,34,332.03,14.257
30274,24-24,19300,,5751197,5017-,1,3,11.41,0.614
30397,24-24,31012,,5751392,5017-,2,2,68.16,1.892
30393,24-24,31011,GRO,5751386,5018-,241,287,4781.2,212.654
30394,24-24,31011,GRO,5751387,5018-,141,400,9192.73,255.653
30395,24-24,31011,GRO,5751388,5018-,12,12,96.54,4.862
30396,24-24,31011,GRO,5751389,5018-,4,4,74.98,2.676
30393,24-24,31011,,5751386,5018-,1,61,773.64,37.909
30394,24-24,31011,,5751387,5018-,1,23,288.16,14.312
30395,24-24,31011,,5751388,5018-,1,2,8.36,0.598
30396,24-24,31011,,5751389,5018-,1,1,7.23,0.341
30166,24-24,18541,GRO,5751029,5019-,255,320,4253.45,206.086
30167,24-24,18541,GRO,5751030,5019-,218,289,3859.23,157.187
30168,24-24,18541,GRO,5751031,5019-,8,8,37.23,1.85
30169,24-24,18541,GRO,5751032,5019-,1,1,14.25,3.244
30175,24-24,18578,GRO,5751041,5019-,294,348,6255.23,231.019
30176,24-24,18578,GRO,5751042,5019-,44,63,614.41,52.386
30177,24-24,18578,GRO,5751043,5019-,10,10,49.33,2.793
30178,24-24,18578,GRO,5751044,5019-,1,1,13,1.597
30265,24-24,19172,GRO,5751185,5019-,267,373,7286.66,234.363
30266,24-24,19172,GRO,5751186,5019-,38,47,702.04,48.164
30267,24-24,19172,GRO,5751187,5019-,2,2,25.47,1.102
30135,24-24,18483,,5750978,5019-,1,1,0.62,0.028
30166,24-24,18541,,5751029,5019-,4,168,1557.82,75.886
30167,24-24,18541,,5751030,5019-,4,147,1481.01,55.385
30168,24-24,18541,,5751031,5019-,4,7,31.3,1.572
30175,24-24,18578,,5751041,5019-,3,110,1242.11,47.492
30176,24-24,18578,,5751042,5019-,3,13,140.41,4.982
30177,24-24,18578,,5751043,5019-,3,4,18.7,0.828
30265,24-24,19172,,5751185,5019-,2,92,1030.1,39.402
30266,24-24,19172,,5751186,5019-,2,7,63.25,2.617
30267,24-24,19172,,5751187,5019-,2,2,10.18,0.749
30085,24-24,16262,GRO,5750889,5020-,256,346,6043.75,237.753
30086,24-24,16262,GRO,5750890,5020-,5,5,24.27,1.862
30091,24-24,16274,GRO,5750898,5020-,262,341,5986.04,236.619
30092,24-24,16274,GRO,5750899,5020-,2,10,125,14.125
30331,24-24,26235,GRO,5751297,5020-,211,297,5523.05,227.467
30332,24-24,26235,GRO,5751298,5020-,1,78,2215.2,56.238
30333,24-24,26235,GRO,5751299,5020-,13,14,76.72,2.96
30334,24-24,26242,GRO,5751301,5020-,231,314,6355.75,234.304
30335,24-24,26242,GRO,5751302,5020-,9,86,2284.42,59.416
30336,24-24,26242,GRO,5751303,5020-,12,12,70.2,4.617
30085,24-24,16262,,5750889,5020-,2,65,801.38,32.988
30086,24-24,16262,,5750890,5020-,2,4,14.7,0.829
30091,24-24,16274,,5750898,5020-,3,28,406.7,25.011
30331,24-24,26235,,5751297,5020-,1,26,449.74,14.819
30333,24-24,26235,,5751299,5020-,1,2,6.07,0.271
30334,24-24,26242,,5751301,5020-,4,58,891.27,26.928
30335,24-24,26242,,5751302,5020-,4,4,42.83,2.006
30072,24-24,16193,GRO,5750868,5021-,77,290,7392.76,215.167
30276,24-24,19304,GRO,5751201,5021-,169,217,4300.1,151.231
30277,24-24,19304,GRO,5751202,5021-,3,4,17.11,0.753
30278,24-24,19304,GRO,5751203,5021-,8,13,325.1,32.299
30451,24-24,31072,GRO,5751462,5021-,250,355,5596.58,257.322
30452,24-24,31072,GRO,5751463,5021-,108,146,3017.69,100.224
30453,24-24,31072,GRO,5751464,5021-,6,6,47.06,2.539
30466,24-24,31133,GRO,5751525,5021-,179,328,7222.73,269.892
30467,24-24,31133,GRO,5751526,5021-,29,78,2866.48,87.851
30468,24-24,31133,GRO,5751527,5021-,5,5,22.41,0.971
30072,24-24,16193,,5750868,5021-,1,13,270.19,15.083
30276,24-24,19304,,5751201,5021-,5,112,1195.58,49.513
30277,24-24,19304,,5751202,5021-,5,2,10.13,0.534
30278,24-24,19304,,5751203,5021-,5,1,9.2,6.02
30451,24-24,31072,,5751462,5021-,2,43,640.46,24.374
30452,24-24,31072,,5751463,5021-,2,21,270.58,8.714
30453,24-24,31072,,5751464,5021-,2,4,12.22,0.604
30454,24-24,31072,,5751465,5021-,2,1,7.23,0.341
30466,24-24,31133,,5751525,5021-,3,21,213.49,12.469
30467,24-24,31133,,5751526,5021-,3,1,5.68,0.573
30604,24-24,63892,,5751711,5021-,4,3,1.84,0.084
30303,24-24,25955,GRO,5751254,5022-,105,122,2224.51,88.915
30304,24-24,25955,GRO,5751255,5022-,1,1,3.57,0.101
30303,24-24,25955,,5751254,5022-,1,3,37.86,2.271
30294,24-24,25531,GRO,5751242,5023-,92,182,1903.1,70.239
30337,24-24,26244,GRO,5751306,5023-,223,289,4399.06,244.709
30338,24-24,26244,GRO,5751307,5023-,108,157,2246.1,93.066
30339,24-24,26244,GRO,5751308,5023-,10,13,91.22,5.101
30365,24-24,26452,GRO,5751346,5023-,313,363,4974.73,243.688
30366,24-24,26452,GRO,5751347,5023-,222,312,5909.58,231.826
30367,24-24,26452,GRO,5751348,5023-,61,99,2207.83,86.601
30368,24-24,26452,GRO,5751349,5023-,10,10,59.92,3.153
30369,24-24,26452,GRO,5751350,5023-,1,1,5.3,0.216
30294,24-24,25531,,5751242,5023-,1,136,1226.61,81.4
30337,24-24,26244,,5751306,5023-,2,47,478.23,34.985
30338,24-24,26244,,5751307,5023-,2,26,275.77,12.601
30365,24-24,26452,,5751346,5023-,3,77,882,30.76
30366,24-24,26452,,5751347,5023-,3,48,591.05,30.868
30367,24-24,26452,,5751348,5023-,3,4,32.23,3.302
30368,24-24,26452,,5751349,5023-,3,2,7.46,0.366
30129,24-24,18356,GRO,5750964,5024-,189,227,3791.48,161.825
30130,24-24,18356,GRO,5750965,5024-,14,40,297.28,177.635
30154,24-24,18537,GRO,5751010,5024-,304,371,4787.1,225.008
30155,24-24,18537,GRO,5751011,5024-,144,166,2089.74,91.362
30156,24-24,18537,GRO,5751012,5024-,17,17,67.4,3.894
30629,24-24,19042,GRO,5751141,5024-,276,349,7187.81,265.791
30630,24-24,19042,GRO,5751142,5024-,27,202,5208.24,136.401
30648,24-24,19042,GRO,5751143,5024-,1,1,36,1.077
30284,24-24,19366,GRO,5751214,5024-,201,325,6572.74,213.516
30285,24-24,19366,GRO,5751215,5024-,3,3,30.42,1.597
30286,24-24,19366,GRO,5751216,5024-,1,2,80,3.48
30129,24-24,18356,,5750964,5024-,1,58,1881.63,73.973
30154,24-24,18537,,5751010,5024-,3,129,1117.02,57.467
30155,24-24,18537,,5751011,5024-,3,66,701.96,27.119
30156,24-24,18537,,5751012,5024-,3,9,45.12,1.951
30629,24-24,19042,,5751141,5024-,2,24,383.01,15.965
30630,24-24,19042,,5751142,5024-,2,11,81.43,16.791
30284,24-24,19366,,5751214,5024-,4,76,900.61,32.185
30285,24-24,19366,,5751215,5024-,4,1,6.18,0.286
30287,24-24,19366,,5751218,5024-,4,8,5.49,0.296
30620,24-24,18430,GRO,5750974,5025-,1,1,55.21,7.419
30643,24-24,18430,GRO,5750975,5025-,134,157,2473.45,96.013
30261,24-24,19167,GRO,5751179,5025-,185,324,7217.43,219.335
30262,24-24,19167,GRO,5751180,5025-,101,146,2138.87,110.528
30263,24-24,19167,GRO,5751181,5025-,24,30,244.13,9.53
30264,24-24,19167,GRO,5751182,5025-,3,4,43.64,9.934
30653,24-24,19472,GRO,5751238,5025-,92,151,3511.36,115.233
30643,24-24,18430,,5750975,5025-,2,31,345.12,13.11
30261,24-24,19167,,5751179,5025-,1,48,1640.28,62.061
30262,24-24,19167,,5751180,5025-,1,26,298.9,17.085
30263,24-24,19167,,5751181,5025-,1,5,25.75,1.362
30264,24-24,19167,,5751182,5025-,1,3,29.8,6.958
30653,24-24,19472,,5751238,5025-,3,23,271.31,17.561
30636,24-24,17027,GRO,5750950,5026-,61,69,1179.83,48.419
30637,24-24,17027,GRO,5750948,5026-,3,3,42.76,1.445
30640,24-24,17027,GRO,5750951,5026-,6,7,57.25,2.46
30641,24-24,17027,GRO,5750949,5026-,77,124,2095.34,108.002
30258,24-24,19128,GRO,5751173,5026-,177,294,5926.97,202.935
30259,24-24,19128,GRO,5751174,5026-,1,1,2.45,0.194
30260,24-24,19128,GRO,5751175,5026-,8,11,164.6,31.403
30296,24-24,25814,GRO,5751246,5026-,2,11,786.4,30.093
30479,24-24,31140,GRO,5751545,5026-,93,338,8649.34,262.997
30480,24-24,31140,GRO,5751546,5026-,64,133,4227.01,135.388
30636,24-24,17027,,5750950,5026-,4,17,161.82,7.716
30640,24-24,17027,,5750951,5026-,4,3,34.81,1.044
30641,24-24,17027,,5750949,5026-,4,33,364.74,12.664
30258,24-24,19128,,5751173,5026-,1,49,738.57,27.04
